2021-06-04T17:28:35.614Z [AUDIT] Token created by 'jffe@000': tokenId='510b9565-8130-411d-b055-ac6c5aeda688', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828315614, refreshable=false
2021-06-04T17:32:54.144Z [AUDIT] Token created by 'jffe@000': tokenId='6ea75e67-f8ad-4fa1-b336-d0bf213583ca', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829774142, refreshable=true
2021-06-04T17:32:54.214Z [AUDIT] Token created by 'jffe@000': tokenId='7b226606-66fb-4670-b7ca-c02c56daeee1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828574213, refreshable=false
2021-06-04T17:32:54.214Z [AUDIT] Token created by 'jffe@000': tokenId='b3c840f7-7561-4b36-b4da-4536e777837e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828574213, refreshable=false
2021-06-04T17:32:54.215Z [AUDIT] Token created by 'jffe@000': tokenId='0f6b73a7-ceb8-49e0-b669-06555f53ac3b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828574215, refreshable=false
2021-06-04T17:32:54.391Z [AUDIT] Token created by 'jffe@000': tokenId='4d592cb2-8f4b-44e9-a4bf-25719032b3f0', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622828574391, refreshable=false
2021-06-04T17:32:54.518Z [AUDIT] Token created by 'jffe@000': tokenId='303f35cb-1843-4d7c-8135-e6983f4ce4e5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828574518, refreshable=false
2021-06-04T17:32:54.746Z [AUDIT] Token created by 'jffe@000': tokenId='70174052-301c-46bf-a829-4b4706a4c07b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828574746, refreshable=false
2021-06-04T17:37:56.917Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='6ea75e67-f8ad-4fa1-b336-d0bf213583ca', tokenId='86808276-1320-4930-8f67-eb1f2adf426c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830076913, refreshable=true
2021-06-04T17:37:56.921Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='6ea75e67-f8ad-4fa1-b336-d0bf213583ca', tokenId='80180d2b-483c-4818-b264-254781ce5c28', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830076912, refreshable=true
2021-06-04T17:38:35.739Z [AUDIT] Token created by 'jffe@000': tokenId='9d54a163-3390-4b0f-b264-1aa4ffff650e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828915738, refreshable=false
2021-06-04T17:38:35.739Z [AUDIT] Token created by 'jffe@000': tokenId='8c67dc4a-10c0-4397-a58e-41d709f17056', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828915739, refreshable=false
2021-06-04T17:38:35.741Z [AUDIT] Token created by 'jffe@000': tokenId='3a83486f-024e-42ed-97bb-c43c35a92d19', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828915741, refreshable=false
2021-06-04T17:42:54.963Z [AUDIT] Token created by 'jffe@000': tokenId='831c2b04-47af-48c5-8592-5468429f0f70', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829174963, refreshable=false
2021-06-04T17:43:41.072Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='80180d2b-483c-4818-b264-254781ce5c28', tokenId='75c15b19-8d1f-4ea3-9239-c8a425e7aadf', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830421062, refreshable=true
2021-06-04T17:44:45.098Z [AUDIT] Token revoked by 'jffe@000': tokenId='75c15b19-8d1f-4ea3-9239-c8a425e7aadf', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830421062, refreshable=true
2021-06-04T17:44:45.204Z [AUDIT] Token created by 'jffe@000': tokenId='5f366bf1-8bbc-4488-a71f-7e91d0fba853', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829285204, refreshable=false
2021-06-04T17:44:45.204Z [AUDIT] Token created by 'jffe@000': tokenId='7686e633-0a42-45af-a6c1-337e198b92b1', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829285204, refreshable=false
2021-06-04T17:44:45.209Z [AUDIT] Token created by 'jffe@000': tokenId='a75085a4-53fc-46c7-9194-e7f1614a74df', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829285209, refreshable=false
2021-06-04T17:44:45.210Z [AUDIT] Token created by 'jffe@000': tokenId='678f42ea-33a7-4a50-81ae-7be2715f0a1a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829285210, refreshable=false
2021-06-04T17:44:48.902Z [AUDIT] Token created by 'jffe@000': tokenId='3298e4d1-523f-4d04-bff2-dc6c41570f53', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1622830488901, refreshable=true
2021-06-04T17:44:48.949Z [AUDIT] Token created by 'jffe@000': tokenId='066067c3-e85d-4462-bb00-3de09beaf09e', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1622829288949, refreshable=false
